client_id,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score
C0001,Individual,Female,India,Asia,2000-08-11,Personal Use,Yes,Referral,4
C0002,Individual,Female,Saudi Arabia,Middle East,1980-03-05,Investment,No,Walk-in,3
C0003,Individual,Male,India,Asia,2002-07-17,Personal Use,Yes,Social Media,3
C0004,Corporate,Female,Qatar,Middle East,1979-02-19,Investment,No,Property Portal,4
C0005,Individual,Male,Singapore,Asia,1987-12-08,Investment,No,Broker,3
C0006,Individual,Male,USA,North America,1964-11-24,Investment,No,Property Portal,5
C0007,Individual,Male,India,Asia,1995-06-16,Personal Use,No,Website,3
C0008,Corporate,Male,Singapore,Asia,1970-08-12,Investment,No,Referral,5
C0009,Individual,Female,UAE,Middle East,1974-08-05,Investment,No,Property Portal,5
C0010,Individual,Female,Singapore,Asia,1966-12-20,Investment,No,Walk-in,5
C0011,Individual,Male,UAE,Middle East,1979-10-07,Investment,No,Broker,5
C0012,Corporate,Female,Singapore,Asia,1970-01-11,Investment,No,Walk-in,4
C0013,Corporate,Male,USA,North America,1976-05-28,Investment,No,Website,3
C0014,Individual,Male,USA,North America,1989-12-13,Personal Use,Yes,Referral,2
C0015,Individual,Female,Qatar,Middle East,1984-12-15,Investment,No,Referral,4
C0016,Individual,Male,Qatar,Middle East,1985-07-06,Investment,No,Broker,3
C0017,Individual,Male,UAE,Middle East,1985-07-31,Investment,No,Referral,3
C0018,Corporate,Male,India,Asia,1984-07-16,Investment,No,Broker,4
C0019,Individual,Male,India,Asia,1996-11-16,Personal Use,Yes,Referral,2
C0020,Individual,Male,Germany,Europe,1994-06-26,Investment,No,Referral,4
C0021,Individual,Female,Singapore,Asia,1975-05-20,Investment,No,Referral,3
C0022,Individual,Female,UAE,Middle East,1965-05-03,Investment,No,Referral,5
C0023,Corporate,Female,India,Asia,1985-09-05,Investment,No,Broker,4
C0024,Corporate,Male,India,Asia,1975-08-24,Investment,Yes,Property Portal,4
C0025,Individual,Female,USA,North America,1961-12-12,Investment,No,Website,5
C0026,Individual,Female,UAE,Middle East,1954-06-26,Investment,No,Broker,5
C0027,Individual,Male,Singapore,Asia,1968-10-04,Investment,No,Website,5
C0028,Corporate,Male,India,Asia,1973-02-11,Investment,No,Website,4
C0029,Individual,Male,India,Asia,1995-08-28,Personal Use,Yes,Website,3
C0030,Corporate,Male,UK,Europe,1976-08-09,Investment,No,Referral,4
C0031,Individual,Male,Singapore,Asia,1964-04-08,Investment,No,Property Portal,5
C0032,Corporate,Female,India,Asia,1977-12-28,Investment,Yes,Referral,4
C0033,Individual,Female,Qatar,Middle East,1980-01-30,Investment,No,Property Portal,5
C0034,Individual,Male,Saudi Arabia,Middle East,1996-08-01,Personal Use,No,Social Media,4
C0035,Individual,Female,USA,North America,1995-02-02,Personal Use,No,Website,3
C0036,Individual,Male,India,Asia,2000-05-07,Personal Use,Yes,Property Portal,3
C0037,Individual,Male,Australia,Oceania,1992-07-21,Personal Use,Yes,Referral,4
